Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Capitulos
¿A qué estás esperando?;2024 - 2024;Comedia sobre problemas amorosos. Dos parejas se enamoran, pero el miedo al compromiso les impide arriesgarse y perder su independencia.;https://image.tmdb.org/t/p/original/57492VZEw95jseXa6NKV7Scnvin.jpg;Comedia;8.467;2;9
007: Camino al millón;2023 - 2025;Nueve parejas se ven envueltas en una aventura alrededor del mundo para enfrentarse a una serie de retos inspirados en James Bond y poder ganar hasta 1 000 000 £. El controlador es el cerebro detrás del juego, y observa a las parejas contestar las diez preguntas que ha ocultado por el mundo.;https://image.tmdb.org/t/p/original/aYV5iTnj2CNTQXrqe88D0tr3Y4x.jpg;Reality, Acción;7.1;2;16
22.11.63;2016 - 2016;El profesor de secundaria Jake Epping viaja en el tiempo para evitar el asesinato del presidente John F. Kennedy - pero su misión se ve amenazada por Lee Harvey Oswald, el amor, y el pasado en sí, que no quiere ser cambiado y no debería de serlo.;https://image.tmdb.org/t/p/original/1fH41ccMKvgDTbbcCxWWH6fznah.jpg;Drama, Ciencia ficción;7.756;1;8
13 mandamientos;2018 - 2018;En Bélgica, un hosco detective se une a una exoficial de élite para atrapar a un justiciero aficionado a la tortura que encuentra inspiración en los Diez Mandamientos.;https://image.tmdb.org/t/p/original/5jvR6hnctpLpyfUpChIvPIzwW3j.jpg;Misterio, Crimen, Drama;6.7;1;13
Por trece razones;2017 - 2020;A pesar del desconcierto que supone volver a oír la voz de Hannah, Clay descubrirá que son trece las razones por las cuales ha decidido quitarse la vida, trece caras de cassete y que, por ello, son trece las personas que deben escucharlas. Él es una de ellas.;https://image.tmdb.org/t/p/original/xcaPztQp9Lvlh9eLoOaGdq4JfxL.jpg;Drama, Misterio;7.541;4;49
1883;2021 - 2022;Precuela de la serie 'Yellowstone', que sigue la historia de la familia Dutton en un viaje hacia el oeste a través de las Grandes Llanuras, para ir hacia el último bastión de la indómita América, durante el año 1883.;https://image.tmdb.org/t/p/original/waLbm384SQDwLTCn6ttPqQS5kfV.jpg;Drama, Western;8.267;1;10
1899;2022 - 2022;En 1899, cuando unos misteriosos sucesos cambian el rumbo de un barco de inmigrantes en ruta a Nueva York, sus pasajeros se ven arrastrados a un enigma desconcertante.;https://image.tmdb.org/t/p/original/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg;Misterio, Drama;7.47;1;8
1923;2022 - 2025;Sigue a una nueva generación de la familia Dutton a principios del siglo XX cuando las pandemias, la sequía histórica, el fin de la Prohibición y la Gran Depresión plagan el oeste montañoso y los Dutton que lo llaman hogar.;https://image.tmdb.org/t/p/original/aE7pMhO58iCn9CdU1VYcyTfKr1o.jpg;Drama, Western;8.236;2;15
1994;2019 - 2019;"1994 es un año crucial para Italia, es el año de la restauración del país. Lo viven, en sus propias carnes, los tres personajes principales ya presentados en ""1992"" y ""1993"", Leonardo Notte, Pietro Bosco y Veronica Castello, cada uno a su manera. Última parte de la trilogía ideada por el actor Stefano Accorsi.";https://image.tmdb.org/t/p/original/4TTdhOO0SIU1YJ2uzVlye1gxkyi.jpg;Drama;7.1;1;8
1994;2019 - 2019;"1994 es un año crucial para Italia, es el año de la restauración del país. Lo viven, en sus propias carnes, los tres personajes principales ya presentados en ""1992"" y ""1993"", Leonardo Notte, Pietro Bosco y Veronica Castello, cada uno a su manera. Última parte de la trilogía ideada por el actor Stefano Accorsi.";https://image.tmdb.org/t/p/original/4TTdhOO0SIU1YJ2uzVlye1gxkyi.jpg;Drama;7.1;1;8
Dos chicas sin blanca;2011 - 2017;"Ambientada en el barrio de Williamsbourg, del distrito de Brooklyn, en Nueva York, la serie relata la vida de dos camareras veinteañeras que trabajan juntas en un restaurante, para lograr cumplir su sueño de abrir un negocio de cupcakes. Max Black (Kat Dennings), proveniente de una familia pobre de la clase trabajadora, que además tiene un trabajo adicional como niñera para una mimada y detestable socialité de Manhattan; y Caroline Channing (Beth Behrs), quien nació rica pero que ahora es pobre, debido a que su padre fue atrapado operando en una enorme estafa. Las dos se convierten en amigas y construyen un sueño juntas, el de abrir una tienda de magdalenas (para eso necesitan alcanzar 250.000 dólares), aunque casi no pueden costear nada con el pago que reciben en su trabajo. Junto con ellas trabajan también en el restaurante su jefe, Han Lee (Matthew Moy); Oleg (Jonathan Kite), un alegre cocinero ucraniano; y Earl (Garrett Morris), el cajero. Al comienzo de cada episodio, se muestra a Max sirviendo una mesa, y al final de cada episodio, un registro muestra lo que llevan para alcanzar los 250.000 dólares.";https://image.tmdb.org/t/p/original/wW1SDEoZ6pDfnSkVQuXwOo8ICep.jpg;Comedia;7.206;6;137
24;2001 - 2014;"24 es una serie de televisión estadounidense del género de acción/drama que trata fundamentalmente el desempeño del agente federal Jack Bauer (Kiefer Sutherland), en la UAT (Unidad antiterrorista) de Los Ángeles. La serie también se enfoca en las actividades de otros agentes de la UAT, la participación de otras agencias gubernamentales, las acciones de diversos grupos terroristas y las reacciones en la Casa Blanca.  En un formato innovador, el espectador presencia la acción ""en tiempo real"": cada episodio de una hora representa una hora continua de acción de la trama. Cada temporada (compuesta por 24 capítulos) conforma así un día completo. Las sucesivas temporadas (si bien guardan una relación temporal y fáctica) no son contiguas, y relatan eventos cronológicamente distantes.";https://image.tmdb.org/t/p/original/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg;Acción, Drama, Crimen;7.785;9;204
El problema de los 3 cuerpos;2024 - 2024;Una decisión tomada en China en los años 60 trasciende el tiempo y el espacio, obligando a unos científicos a afrontar la peor amenaza para la humanidad en el presente.;https://image.tmdb.org/t/p/original/6Dc9mMl083cVpNknWzALCw7JYPH.jpg;Ciencia ficción, Misterio, Drama;7.478;1;8
30 monedas;2020 - 2023;En un mundo donde nada es lo que parece, Vergara, Paco y Elena librarán una batalla por el control de las treinta monedas por las que Judas traicionó a Jesús.;https://image.tmdb.org/t/p/original/vHnRqCNztlfnNXQHvqKpX6jnAKV.jpg;Crimen, Misterio, Drama;7.2;2;16
31 Minutos;2003 - 2014;El programa se centra en las aventuras del equipo de un noticiero de poco prestigio, donde siempre ocurre algo inesperado. Sus notas, mientras algunas son bastante ridículas, otras son educativas y dejan un mensaje tanto explícita como implícitamente. El noticiario es conducido por Tulio Triviño.;https://image.tmdb.org/t/p/original/rI0hXEJFcgRaigCWGEuqEXQvOjY.jpg;Comedia, Familia;8.596;4;68
45 Revoluciones;2019 - 2019;Futura es una discográfica de los años 60 que decide abrir una división dedicada al naciente fenómeno de la música pop-rock en plena España franquista. Este nuevo género musical estaba empezando a revolucionar el mundo, y la discográfica pronto vio una oportunidad. Maribel Campoy, una joven de apenas 20 años formada en el Conservatorio de Música, se verá al frente de un nuevo sello musical que va a cambiar las reglas del juego. Junto a su jefe, Guillermo Rojas y Roberto, un joven cantante descubierto entre los escenarios de las Matinales del Circo Price, ‘45 Revoluciones’ dará luz a una nueva forma de entender el panorama musical. Tres personajes que se verán envueltos en un triángulo amoroso dentro de una época y un marco social donde la policía cargaba contra todos aquellos que pretendían revolucionar el país.;https://image.tmdb.org/t/p/original/dkWii81Ru6NCvWPInbNy1sTZ293.jpg;Drama;6.4;1;13
